Plot Title: 9811661-santarosa,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
484,6/29/2011,13:00:00,108828,13.173,,
485,6/29/2011,13:15:00,108877,13.269,,
486,6/29/2011,13:30:00,108927,13.365,,
487,6/29/2011,13:45:00,109013,13.558,,
488,6/29/2011,14:00:00,109013,13.654,,
489,6/29/2011,14:15:00,108988,13.75,,
490,6/29/2011,14:30:00,109062,13.942,,
491,6/29/2011,14:45:00,109124,14.038,,
492,6/29/2011,15:00:00,109111,14.134,,
493,6/29/2011,15:15:00,109099,14.23,,
494,6/29/2011,15:30:00,109061,14.325,,
495,6/29/2011,15:45:00,109073,14.517,,
496,6/29/2011,16:00:00,109110,14.613,,
497,6/29/2011,16:15:00,109061,14.709,,
498,6/29/2011,16:30:00,109073,14.709,,
499,6/29/2011,16:45:00,108998,14.804,,
500,6/29/2011,17:00:00,109023,14.9,,
501,6/29/2011,17:15:00,109011,14.996,,
502,6/29/2011,17:30:00,108973,14.996,,
503,6/29/2011,17:45:00,108948,15.091,,
504,6/29/2011,18:00:00,108899,15.091,,
505,6/29/2011,18:15:00,108923,15.187,,
506,6/29/2011,18:30:00,108837,15.187,,
507,6/29/2011,18:45:00,108874,15.187,,
508,6/29/2011,19:00:00,108836,15.282,,
509,6/29/2011,19:15:00,108849,15.282,,
510,6/29/2011,19:30:00,108923,15.282,,
511,6/29/2011,19:45:00,108886,15.282,,
512,6/29/2011,20:00:00,108898,15.282,,
513,6/29/2011,20:15:00,109010,15.282,,
514,6/29/2011,20:30:00,109060,15.282,,
515,6/29/2011,20:45:00,109110,15.187,,
516,6/29/2011,21:00:00,109184,15.187,,
517,6/29/2011,21:15:00,109246,15.187,,
518,6/29/2011,21:30:00,109259,15.091,,
519,6/29/2011,21:45:00,109383,15.091,,
520,6/29/2011,22:00:00,109569,14.996,,
521,6/29/2011,22:15:00,109668,14.996,,
522,6/29/2011,22:30:00,109693,14.996,,
523,6/29/2011,22:45:00,109743,14.9,,
524,6/29/2011,23:00:00,109805,14.9,,
525,6/29/2011,23:15:00,109730,14.9,,
526,6/29/2011,23:30:00,109693,14.804,,
527,6/29/2011,23:45:00,109755,14.804,,
528,6/30/2011,0:00:00,109681,14.804,,
529,6/30/2011,0:15:00,109669,14.709,,
530,6/30/2011,0:30:00,109594,14.709,,
531,6/30/2011,0:45:00,109507,14.613,,
532,6/30/2011,1:00:00,109433,14.613,,
533,6/30/2011,1:15:00,109421,14.517,,
534,6/30/2011,1:30:00,109359,14.421,,
535,6/30/2011,1:45:00,109322,14.421,,
536,6/30/2011,2:00:00,109272,14.325,,
537,6/30/2011,2:15:00,109210,14.23,,
538,6/30/2011,2:30:00,109111,14.134,,
539,6/30/2011,2:45:00,109000,14.038,,
540,6/30/2011,3:00:00,108888,13.942,,
541,6/30/2011,3:15:00,108777,13.846,,
542,6/30/2011,3:30:00,108665,13.75,,
543,6/30/2011,3:45:00,108554,13.654,,
